TAZID,CO_TAZID,DevAcres,HH,Job,JobByAuto,HHByAuto,JobByAuto_wtByHH,HHByAuto_wtByJob,CompJobHHByAuto,JobByTran,HHByTran,JobByTran_wtByHH,HHByTran_wtByJob,CompJobHHByTran,JobByAuto_FF,HHByAuto_FF,JobByAuto_wtByHH_FF,HHByAuto_wtByJob_FF,CompJobHHByAuto_FF,JobByAuto_SL,HHByAuto_SL,JobByAuto_wtByHH_SL,HHByAuto_wtByJob_SL,CompJobHHByAuto_SL
        12,     30012,599.771853,      21.4,         0,     66759,     55067,   1428649,         0,     66759,         0,         0,         0,         0,         0,    128285,     90171,   2745291,         0,    128285,    173324,    125449,   3709139,         0,    173324
        13,     30013,278.359848,      14.4,         0,     74115,     61388,   1067261,         0,     74115,         0,         0,         0,         0,         0,    142641,    100584,   2054026,         0,    142641,    180836,    130664,   2604040,         0,    180836
        14,     30014,227.153493,      24.7,         0,     71362,     59005,   1762640,         0,     71362,         0,         0,         0,         0,         0,    136787,     96374,   3378646,         0,    136787,    175346,    126652,   4331035,         0,    175346
        15,     30015,3152.46340,       1.0,     321.3,     56525,     46465,     56525,  14929276,     46515,         0,         0,         0,         0,         0,    107919,     75668,    107919,  24312123,     75828,    142325,    102342,    142325,  32882542,    102541
        16,     30016,746.812178,      87.4,      66.9,     64994,     53803,   5680475,   3599422,     61377,         0,         0,         0,         0,         0,    123607,     87220,  10803253,   5834990,    111846,    172053,    124187,  15037446,   8308109,    156583
        17,     30017,407.588378,     254.5,         0,     65903,     54556,  16772306,         0,     65903,         0,         0,         0,         0,         0,    127224,     89640,  32378602,         0,    127224,    174924,    126487,  44518063,         0,    174924
        18,     30018,309.030427,         0,     829.7,     69505,     57573,         0,  47768036,     57573,         0,         0,         0,         0,         0,    132832,     93691,         0,  77735478,     93691,    180007,    130144,         0, 107980627,    130144
        19,     30019,196.205397,     207.4,      52.5,     62036,     51530,  12866227,   2705335,     60603,      1740,      1331,    360924,     69870,      1684,    116751,     82730,  24214114,   4343307,    112111,    173576,    125382,  35999654,   6582541,    167003
        20,     30020,173.846732,     195.6,     151.0,     57224,     47673,  11193043,   7198620,     54119,      2444,      1861,    477990,    281061,      2254,    107008,     75999,  20930679,  11475821,     96928,    170443,    123020,  33338622,  18576066,    155027
        21,     30021,128.632214,      82.4,     475.8,     67237,     55645,   5540343,  26475946,     58164,         0,         0,         0,         0,         0,    127874,     90238,  10536790,  42935027,     98415,    181518,    131276,  14957063,  62460985,    142192
        22,     30022,104.210697,      91.9,     121.7,     66233,     54844,   6086789,   6674549,     61080,         0,         0,         0,         0,         0,    125738,     88789,  11555332,  10805597,    109022,    182197,    131784,  16743871,  16038152,    159390
        23,     30023,135.607746,      77.8,     187.9,     64733,     53647,   5036261,  10080200,     58069,      1210,       782,     94159,    146932,       953,    122255,     86451,   9511435,  16244052,    100734,    180750,    130656,  14062372,  24550352,    150640
        24,     30024,101.657431,     149.1,      16.3,     63094,     52380,   9407303,    853799,     62410,      2273,      1624,    338901,     26464,      2232,    118712,     84109,  17699982,   1370982,    116503,    179038,    129377,  26694535,   2108850,    175867
        25,     30025,113.044793,     300.0,     161.7,     61064,     50895,  18319171,   8229750,     58505,      3625,      2692,   1087397,    435222,      3390,    114346,     81265,  34303704,  13140527,    106021,    177556,    128273,  53266678,  20741768,    165154
        26,     30026, 56.631464,     183.0,     183.1,     60282,     50333,  11031550,   9216064,     56458,      4295,      3275,    785992,    599615,      3903,    112600,     80142,  20605879,  14673920,    100126,    178301,    128791,  32629167,  23581621,    159273
        27,     30027,153.111351,     129.4,      14.2,     66333,     54779,   8583458,    777861,     65592,         0,         0,         0,         0,         0,    126179,     88941,  16327622,   1262959,    123793,    171202,    123796,  22153595,   1757909,    168165
        28,     30028,203.300975,     219.3,     286.0,     63902,     52876,  14013697,  15122564,     58956,      1098,       752,    240787,    215099,       943,    120495,     85102,  26424547,  24339244,    104617,    167885,    121507,  36817127,  34751128,    147079
        29,     30029, 83.574133,     199.8,       4.1,     62276,     51784,  12442691,    212315,     62143,      2707,      1714,    540871,      7028,      2695,    117259,     83205,  23428431,    341141,    116829,    168849,    122131,  33736064,    500737,    168259
        30,     30030,108.781129,     309.3,      83.3,     59768,     49919,  18486107,   4158285,     58351,      3999,      2839,   1236941,    236508,      3832,    111790,     79615,  34576783,   6631966,    107162,    165674,    119930,  51243107,   9990192,    159094
        31,     30031, 64.047264,     200.0,     180.2,     60681,     50709,  12136271,   9137765,     57093,      3959,      3258,    791879,    587052,      3707,    113639,     80951,  22727787,  14587380,    101876,    167304,    121046,  33460872,  21812509,    150659
        32,     30032, 46.605744,     130.1,       4.1,     58503,     48835,   7611237,    200223,     58317,      2955,      2247,    384502,      9213,      2942,    109217,     77719,  14209119,    318650,    108610,    175013,    126434,  22769143,    518381,    174076
        33,     30033, 64.212087,     154.3,      11.6,     57847,     48345,   8925786,    560800,     57421,      2961,      2258,    456864,     26192,      2929,    108070,     77002,  16675252,    893227,    106678,    161357,    116787,  24897321,   1354729,    159360
        34,     30034, 67.305935,     173.3,      16.3,     56125,     46814,   9726439,    763062,     55609,      2084,      1596,    361179,     26015,      2057,    104953,     74599,  18188359,   1215971,    103271,    172732,    124888,  29934427,   2035667,    170080
        35,     30035, 80.425663,     257.1,         0,     55414,     46349,  14247049,         0,     55414,      1767,      1351,    454394,         0,      1767,    103513,     73790,  26613287,         0,    103513,    158887,    114676,  40849855,         0,    158887
        36,     30036, 66.078085,     126.8,         0,     51587,     43125,   6541212,         0,     51587,         0,         0,         0,         0,         0,     96073,     68451,  12182028,         0,     96073,    151866,    109625,  19256593,         0,    151866
        37,     30037,213.267221,      77.4,     100.7,     74830,     62034,   5791873,   6246871,     69097,         0,         0,         0,         0,         0,    143302,    101189,  11091603,  10189763,    124434,    186066,    134530,  14401505,  13547159,    162976
        38,     30038,207.268944,       2.3,    1246.2,     71207,     59074,    163776,  73618528,     59110,       858,       600,      1973,    748219,       601,    135462,     95790,    311562, 119373708,     95907,    182855,    132289,    420566, 164858860,    132438
        39,     30039, 82.626687,      78.5,     187.6,     62517,     51926,   4907582,   9741240,     56177,      2072,      1384,    162664,    259628,      1660,    117894,     83547,   9254705,  15673341,     97336,    167859,    121396,  13176956,  22773838,    140049
        40,     30040,118.118363,     338.7,     264.4,     61222,     50968,  20735975,  13475975,     57864,      3313,      2473,   1122174,    653752,      3038,    115122,     81737,  38991757,  21611218,    104188,    166724,    120664,  56469473,  31903512,    151639
        41,     30041, 42.716753,     107.7,     611.7,     58901,     49179,   6343663,  30082949,     51319,      3532,      3140,    380414,   1920783,      3226,    110170,     78428,  11865292,  47974515,     85414,    163460,    118343,  17604666,  72390392,    128273
        42,     30042, 43.532671,      70.0,      81.7,     59963,     50158,   4197398,   4097928,     55832,      2695,      2281,    188639,    186322,      2520,    112487,     80173,   7874100,   6550172,     98872,    168871,    122297,  11820937,   9991698,    149247
        43,     30043, 79.992258,     205.4,      82.4,     56981,     47677,  11703811,   3928562,     55118,      1596,      1371,    327829,    113010,      1551,    106666,     76029,  21909243,   6264801,    100533,    164386,    118752,  33764870,   9785171,    155251
        44,     30044, 35.151657,     163.6,         0,     55997,     46841,   9161089,         0,     55997,         0,         0,         0,         0,         0,    104698,     74617,  17128589,         0,    104698,    163975,    118499,  26826280,         0,    163975
        45,     30045, 43.925164,     156.1,      25.8,     54905,     45915,   8570740,   1184598,     54065,         0,         0,         0,         0,         0,    102621,     73119,  16019080,   1886475,     99863,    163224,    118018,  25479272,   3044858,    158998
        46,     30046,151.481435,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        47,     30047,4319.12829,         0,         0,     57867,     47484,         0,         0,         0,         0,         0,         0,         0,         0,    111116,     77775,         0,         0,         0,    185077,    135174,         0,         0,         0
        48,     30048,456.875777,      11.4,         0,     65547,     54024,    747239,         0,     65547,         0,         0,         0,         0,         0,    125923,     88461,   1435517,         0,    125923,    177255,    128567,   2020707,         0,    177255
        49,     30049,239.937161,      96.7,     308.5,     74790,     62106,   7232155,  19159567,     66347,         0,         0,         0,         0,         0,    143007,    101068,  13828747,  31179530,    115093,    191092,    138264,  18478561,  42654558,    155930
        50,     30050,248.042036,     154.3,     475.7,     70500,     58623,  10878185,  27886891,     62686,       870,       589,    134254,    280162,       685,    133841,     94788,  20651701,  45090684,    108147,    186707,    135250,  28808938,  64338318,    152852
        51,     30051, 46.653357,      69.0,      88.8,     62875,     52425,   4338401,   4655322,     58221,      1716,      1120,    118404,     99479,      1451,    121358,     86217,   8373703,   7656111,    105708,    170630,    123715,  11773494,  10985917,    149737
        52,     30052, 45.509891,      46.0,    1800.4,     63402,     52693,   2916502,  94868758,     53114,      2065,      1730,     94982,   3114685,      1743,    119649,     84831,   5503833, 152730436,     86201,    173269,    125428,   7970395, 225820496,    127310
        53,     30053, 77.585652,     220.2,    1237.1,     62011,     51780,  13654907,  64056712,     54051,      3190,      2553,    702443,   3158892,      2695,    116517,     82893,  25657113, 102546948,     90357,    171551,    124220,  37775557, 153672398,    134726
        54,     30054, 72.913789,     170.3,     669.9,     60573,     50616,  10315629,  33907439,     53498,      3341,      2965,    568951,   1986186,      3074,    113568,     80865,  19340692,  54171683,     90333,    169258,    122644,  28824569,  82159274,    136139
        55,     30055, 75.013534,     156.2,     210.5,     60122,     50502,   9391069,  10630691,     55728,      2496,      2137,    389833,    449773,      2332,    115624,     82535,  18060537,  17373671,    100511,    168507,    121805,  26320724,  25640003,    147176
        56,     30056, 26.131260,      37.1,         0,     59382,     49899,   2203058,         0,     59382,         0,         0,         0,         0,         0,    114326,     81619,   4241511,         0,    114326,    170161,    123089,   6312955,         0,    170161
        57,     30057, 28.559692,      87.2,         0,     58769,     49186,   5124657,         0,     58769,         0,         0,         0,         0,         0,    110158,     78522,   9605783,         0,    110158,    169312,    122352,  14764030,         0,    169312
        58,     30058,252.494945,         0,         0,     53346,     44593,         0,         0,         0,         0,         0,         0,         0,         0,     99609,     70947,         0,         0,         0,    166635,    120800,         0,         0,         0
        59,     30059,190.274203,     129.4,         0,     69828,     57980,   9035799,         0,     69828,         0,         0,         0,         0,         0,    132700,     93797,  17171345,         0,    132700,    189656,    137686,  24541503,         0,    189656
        60,     30060,195.748829,     152.2,         0,     58549,     48714,   8911157,         0,     58549,      1222,       955,    186028,         0,      1222,    113393,     80439,  17258370,         0,    113393,    171087,    124592,  26039382,         0,    171087
        61,     30061, 88.242831,     255.9,         0,     63552,     53081,  16262929,         0,     63552,      2056,      1464,    526010,         0,      2056,    123706,     87914,  31656435,         0,    123706,    176236,    127967,  45098683,         0,    176236
        62,     30062, 75.224599,     205.1,      71.2,     62562,     52220,  12831460,   3718084,     60721,      3144,      2281,    644762,    162416,      2990,    121667,     86431,  24953865,   6153875,    115394,    171195,    124248,  35112076,   8846447,    162837
        63,     30063, 35.770124,      22.1,     194.3,     61016,     50806,   1348457,   9871613,     52380,      2282,      1428,     50441,    277411,      1560,    117536,     83445,   2597552,  16213272,     88701,    165232,    119785,   3651619,  23274150,    126793
        64,     30064, 85.373297,     210.3,     163.9,     63617,     53338,  13378668,   8742116,     60254,      3125,      2501,    657239,    409907,      2921,    123535,     87968,  25979331,  14418036,    111899,    172456,    125120,  36267570,  20507181,    156970
        65,     30065, 97.758595,     265.3,      69.5,     60041,     50357,  15928950,   3499842,     58681,      3700,      2615,    981540,    181726,      3547,    115182,     82099,  30557852,   5705858,    110535,    163972,    118662,  43501858,   8247015,    157607
        66,     30066, 51.309541,     162.5,     138.6,     65665,     55320,  10670556,   7667348,     62072,      2916,      2444,    473840,    338786,      2752,    127770,     91244,  20762672,  12646358,    115084,    182596,    132051,  29671832,  18302299,    165041
        67,     30067, 57.422659,     137.0,     113.9,     64856,     54575,   8885298,   6216048,     61345,      3865,      3276,    529438,    373148,      3664,    125812,     89825,  17236302,  10231059,    113521,    179166,    129484,  24545686,  14748243,    162197
        68,     30068, 52.467391,     174.2,      36.2,     62925,     53093,  10961606,   1921955,     61797,      2358,      2015,    410834,     72930,      2319,    122309,     87413,  21306187,   3164346,    118304,    179503,    129881,  31269447,   4701683,    173808
        69,     30069, 57.773502,      32.0,      82.9,     60542,     50852,   1937342,   4215606,     54556,      2599,      2242,     83177,    185838,      2378,    116599,     83216,   3731170,   6898593,     95976,    173465,    125588,   5550866,  10411261,    143888
        70,     30070, 34.826126,     103.6,      23.5,     61911,     52192,   6413965,   1226520,     60706,         0,         0,         0,         0,         0,    120062,     85786,  12438381,   2015967,    115812,    178773,    129385,  18520888,   3040539,    172650
        71,     30071,143.723585,      25.0,         0,     59894,     50394,   1497359,         0,     59894,         0,         0,         0,         0,         0,    116778,     83372,   2919458,         0,    116778,    179792,    130216,   4494790,         0,    179792
        72,     30072, 34.086920,      99.7,      85.6,     59854,     50298,   5967474,   4305537,     56521,         0,         0,         0,         0,         0,    115226,     82263,  11488004,   7041683,    103728,    173949,    125927,  17342700,  10779368,    157198
        73,     30073,115.092528,       5.5,         0,     62837,     53044,    345603,         0,     62837,         0,         0,         0,         0,         0,    123430,     88195,    678867,         0,    123430,    185997,    134493,   1022982,         0,    185997
        74,     30074,227.309852,      82.4,     140.8,     52783,     43758,   4349314,   6161100,     48126,         0,         0,         0,         0,         0,    101874,     72083,   8394437,  10149319,     86502,    170111,    124496,  14017156,  17528969,    146574
        75,     30075,149.658472,     513.6,     592.8,     75044,     62946,  38542615,  37314276,     69979,      3610,      2927,   1853969,   1735164,      3324,    148712,    105674,  76378434,  62643591,    130695,    199857,    144763, 102646522,  85815781,    176793
        76,     30076,114.941966,     500.4,     158.3,     66112,     55374,  33082527,   8765670,     64342,      2454,      1841,   1227766,    291449,      2353,    129747,     92209,  64925323,  14596729,    123559,    183655,    133344,  91900714,  21108355,    175362
        77,     30077, 80.280561,     518.4,     943.4,     66331,     55543,  34385843,  52399695,     60595,      3534,      2745,   1831868,   2589851,      3114,    130010,     92402,  67397115,  87172252,    110014,    181371,    131693,  94022571, 124239528,    154957
        78,     30078,112.191671,     581.9,     306.0,     66680,     55946,  38801195,  17119425,     64028,      3643,      2735,   2119796,    836773,      3418,    130828,     93074,  76128697,  28480766,    121501,    184016,    133564, 107078969,  40870653,    171553
        79,     30079, 39.400546,     488.5,     406.9,     63389,     53380,  30965585,  21720432,     59966,      3812,      3050,   1862287,   1241112,      3552,    123366,     88034,  60264418,  35820940,    111284,    176574,    127895,  86256263,  52040649,    159928
        80,     30080, 46.560144,     552.9,     351.6,     65013,     54865,  35945530,  19290554,     62130,      4824,      3994,   2667198,   1404241,      4588,    127228,     90841,  70344195,  31939702,    116892,    182908,    132459, 101129972,  46572495,    168578
        81,     30081,187.307320,     157.7,     315.0,     62796,     53052,   9902899,  16711437,     57390,      1823,      1467,    287452,    462236,      1626,    123450,     88229,  19468007,  27792098,    103909,    187807,    136011,  29617206,  42843440,    159071
        82,     30082,152.546581,     376.8,     499.8,     67099,     56637,  25282827,  28307081,     62361,      2917,      2440,   1099028,   1219289,      2701,    131463,     93898,  49535412,  46930334,    114453,    189533,    137110,  71416138,  68527796,    165795
        83,     30083,113.808487,         0,     248.7,     76200,     63976,         0,  15910931,     63976,      4312,      3528,         0,    877482,      3528,    150940,    107311,         0,  26688265,    107311,    204651,    148297,         0,  36881582,    148297
        84,     30084, 53.080907,     197.3,     251.8,     72950,     61512,  14393120,  15488638,     67880,      5337,      4410,   1052917,   1110389,      4926,    144519,    103047,  28513634,  25947126,    126135,    202323,    146581,  39918396,  36909127,    177614
        85,     30085, 57.165840,      62.5,     133.7,     68969,     58440,   4310532,   7813447,     62950,      4400,      3784,    275028,    505862,      4048,    135898,     97155,   8493624,  12989597,    113750,    197715,    142982,  12357202,  19116703,    166426
        86,     30086,388.510529,      15.0,     156.6,     76310,     63725,   1144648,   9979267,     65400,         0,         0,         0,         0,         0,    151666,    107356,   2274993,  16811898,    113253,    206307,    149742,   3094598,  23449536,    157270
        87,     30087,219.151682,      69.0,         0,     59199,     50669,   4084759,         0,     59199,         0,         0,         0,         0,         0,    114515,     82099,   7901501,         0,    114515,    168577,    122316,  11631809,         0,    168577
        88,     30088,205.655239,      69.0,         0,     66549,     56858,   4591900,         0,     66549,      1421,      1225,     98075,         0,      1421,    128418,     92078,   8860873,         0,    128418,    178683,    129312,  12329152,         0,    178683
        89,     30089,199.281081,     164.5,     335.7,     70144,     60137,  11538666,  20187861,     64539,      2951,      2533,    485391,    850372,      2717,    135847,     97576,  22346833,  32756392,    114412,    186403,    134739,  30663331,  45231726,    157466
        90,     30090,271.340268,     125.2,     716.7,     70077,     58948,   8773703,  42248243,     61383,      3352,      2802,    419655,   2008000,      2922,    139474,     99268,  17462181,  71145469,    108063,    201726,    146451,  25256081, 104961173,    158542
        91,     30091,150.566799,     255.2,     117.3,     69128,     59254,  17641347,   6950514,     66927,      3044,      2610,    776840,    306180,      2947,    133732,     96049,  34128345,  11266588,    125334,    185611,    134114,  47367935,  15731615,    174135
        92,     30092,123.970634,     200.0,     198.9,     67412,     57444,  13482369,  11425626,     63595,      3900,      3351,    779981,    666422,      3690,    132674,     94990,  26534855,  18893580,    118246,    199263,    143656,  39852563,  28573103,    177971
        93,     30093,105.465780,     111.4,         0,     62669,     53657,   6981373,         0,     62669,         0,         0,         0,         0,         0,    121294,     87002,  13512128,         0,    121294,    180918,    131505,  20154242,         0,    180918
        94,     30094,205.869884,     115.2,         0,     69209,     58922,   7972832,         0,     69209,      2001,      1642,    230544,         0,      2001,    134992,     96497,  15551048,         0,    134992,    181200,    131788,  20874281,         0,    181200
        95,     30095,184.642664,     284.0,     194.6,     71618,     61471,  20339385,  11962235,     68579,      3472,      2958,    986001,    575698,      3318,    139457,    100142,  39605699,  19487587,    127683,    193555,    139994,  54969548,  27242765,    177515
        96,     30096,163.787822,     270.2,      64.1,     70962,     60870,  19173897,   3901766,     69661,      3284,      2701,    887353,    173130,      3209,    137805,     98969,  37234876,   6343931,    132798,    192419,    139092,  51991555,   8915807,    185544
        97,     30097,742.242852,         0,         0,     69968,     59191,         0,         0,         0,         0,         0,         0,         0,         0,    137947,     97863,         0,         0,         0,    182779,    132979,         0,         0,         0
        98,     30098,515.762284,      15.4,       2.7,     78538,     66520,   1209490,    179604,     77353,         0,         0,         0,         0,         0,    154645,    109941,   2381535,    296841,    150237,    199697,    145099,   3075336,    391768,    194314
        99,     30099, 47.224552,         0,         0,     68647,     58542,         0,         0,         0,         0,         0,         0,         0,         0,    135573,     96774,         0,         0,         0,    187350,    136407,         0,         0,         0
       100,     30100,115.285769,     106.7,       2.1,     73651,     62790,   7858542,    131859,     73519,      2610,      2150,    278484,      4516,      2604,    145155,    103702,  15488060,    217773,    144652,    193059,    140273,  20599415,    294574,    192419
       101,     30101,226.520192,     440.6,     134.8,     74792,     64248,  32953523,   8660613,     73102,      3684,      2994,   1623271,    403649,      3574,    146678,    105273,  64626154,  14190849,    140041,    201324,    145461,  88703167,  19608210,    192370
       102,     30102,108.195519,         0,         0,     66308,     56546,         0,         0,         0,         0,         0,         0,         0,         0,    130956,     93441,         0,         0,         0,    192414,    140502,         0,         0,         0
       103,     30103,195.757101,     228.7,      19.7,     74885,     63900,  17126160,   1258829,     74325,      2345,      1917,    536202,     37758,      2323,    148606,    106101,  33986303,   2090187,    146439,    201907,    146774,  46176166,   2891456,    199095
       104,     30104,151.304957,     198.3,     116.0,     77246,     66403,  15317874,   7702768,     74347,      4204,      3485,    833621,    404313,      4012,    152132,    109166,  30167740,  12663252,    140644,    205811,    148649,  40812297,  17243296,    190527
       105,     30105, 98.772761,     108.2,      55.1,     79583,     68402,   8610849,   3768973,     76887,      4317,      3579,    467138,    197215,      4139,    157286,    112787,  17018317,   6214572,    146557,    214483,    154850,  23207090,   8532258,    200105
       106,     30106,197.688337,     216.6,      76.9,     78977,     67915,  17106516,   5222627,     76971,      4101,      3378,    888188,    259747,      3970,    156422,    112163,  33880923,   8625336,    148396,    215368,    155488,  46648743,  11957006,    204510
       107,     30107, 55.090501,         0,         0,     77242,     65982,         0,         0,         0,         0,         0,         0,         0,         0,    153978,    109962,         0,         0,         0,    213150,    154807,         0,         0,         0
       108,     30108, 88.809657,     171.2,         0,     82552,     70764,  14132892,         0,     82552,      4226,      3447,    723533,         0,      4226,    164270,    117564,  28123069,         0,    164270,    219268,    158670,  37538744,         0,    219268
       109,     30109,946.304060,      12.0,       1.4,     84382,     70965,   1012581,     99351,     83471,         0,         0,         0,         0,         0,    168748,    119341,   2024975,    167078,    165396,    228536,    165951,   2742437,    232331,    224290
       110,     30110, 95.228257,      21.3,         0,     81377,     69285,   1733341,         0,     81377,      2354,      1929,     50136,         0,      2354,    162955,    116235,   3470943,         0,    162955,    217684,    157885,   4636662,         0,    217684
       111,     30111,140.290589,      19.7,         0,     90198,     75939,   1776902,         0,     90198,         0,         0,         0,         0,         0,    180433,    127790,   3554523,         0,    180433,    232098,    168023,   4572323,         0,    232098
       112,     30112,174.440973,      47.0,         0,     85177,     72394,   4003325,         0,     85177,      2226,      1799,    104619,         0,      2226,    171460,    122116,   8058640,         0,    171460,    229530,    166128,  10787925,         0,    229530
       113,     30113,203.628024,     113.2,         0,     83232,     71400,   9421860,         0,     83232,      3571,      2909,    404244,         0,      3571,    166408,    118987,  18837381,         0,    166408,    226533,    163585,  25643583,         0,    226533
       114,     30114,154.264831,      86.9,       1.8,     85368,     73308,   7418465,    131955,     85214,      4724,      3830,    410508,      6893,      4713,    170797,    122219,  14842250,    219994,    170177,    233000,    167710,  20247719,    301878,    232167
       115,     30115, 90.072069,       5.6,      89.5,     99287,     83585,    556005,   7480819,     85016,         0,         0,         0,         0,         0,    198524,    140753,   1111733,  12597375,    146019,    249520,    179961,   1397310,  16106472,    186301
       116,     30116,109.047060,      65.1,      29.2,     94284,     79601,   6137905,   2324345,     91074,      2421,      1947,    157630,     56859,      2318,    190092,    134893,  12374959,   3938868,    178022,    246894,    178268,  16072800,   5205440,    231889
       117,     30117,104.898914,      30.3,      34.2,     89695,     76541,   2717758,   2617700,     84260,      4348,      3518,    131758,    120317,      4005,    180600,    128780,   5472191,   4404272,    159188,    241798,    174280,   7326481,   5960367,    213899
       118,     30118, 81.197058,      56.2,         0,     88593,     75933,   4978914,         0,     88593,      4795,      3877,    269467,         0,      4795,    177937,    127137,  10000060,         0,    177937,    243410,    174876,  13679633,         0,    243410
       119,     30119, 88.410214,       1.0,      35.8,     97646,     82157,     97646,   2941217,     82821,         0,         0,         0,         0,         0,    195076,    138248,    195076,   4949275,    140683,    256528,    185173,    256528,   6629211,    188231
       120,     30120,230.581588,     123.3,       1.4,     92369,     78104,  11389043,    109346,     92268,      2405,      1904,    296551,      2666,      2402,    186217,    132226,  22960539,    185116,    185837,    252758,    182340,  31165047,    255276,    252263
       121,     30121,115.036147,      51.4,       7.8,     88127,     76080,   4529709,    593422,     87085,      3540,      2791,    181934,     21770,      3475,    176635,    126721,   9079048,    988426,    172318,    240948,    173267,  12384711,   1351482,    235094
       122,     30122,151.372238,      90.7,         0,     87249,     75338,   7913490,         0,     87249,      3369,      2650,    305563,         0,      3369,    174888,    125464,  15862371,         0,    174888,    240795,    173141,  21840144,         0,    240795
       123,     30123,117.795646,         0,         0,     86279,     72570,         0,         0,         0,         0,         0,         0,         0,         0,    172503,    122046,         0,         0,         0,    259929,    188308,         0,         0,         0
       124,     30124,123.415254,      98.0,       2.3,     86158,     74376,   8443487,    171064,     85988,      2961,      2308,    290215,      5309,      2952,    173540,    124324,  17006956,    285945,    172830,    233305,    168776,  22863902,    388184,    232374
       125,     30125, 61.781836,      70.0,      64.3,     91108,     78627,   6377571,   5055731,     86561,      4991,      3941,    349384,    253432,      4609,    183613,    131606,  12852879,   8462250,    164666,    240503,    173565,  16835197,  11160233,    216117
       126,     30126,198.242357,     175.4,      10.6,     89531,     77297,  15703758,    819350,     89087,      4314,      3358,    756628,     35599,      4279,    180481,    129360,  31656318,   1371213,    178623,    241462,    174263,  42352378,   1847186,    239020
       127,     30127,127.818309,     105.0,         0,     88553,     76412,   9298100,         0,     88553,      3186,      2431,    334481,         0,      3186,    178940,    128118,  18788722,         0,    178940,    240965,    174144,  25301283,         0,    240965
       128,     30128,100.177029,      96.0,       5.9,     93861,     80953,   9010673,    477621,     93385,      4864,      3756,    466966,     22160,      4823,    190100,    136104,  18249582,    803013,    188106,    249020,    179392,  23905946,   1058415,    246449
       129,     30129,233.679796,      66.4,         0,     96849,     83438,   6430783,         0,     96849,      3357,      2522,    222877,         0,      3357,    197171,    140980,  13092145,         0,    197171,    259133,    186344,  17206443,         0,    259133
       130,     30130,102.635968,      73.8,       1.7,     92074,     79439,   6795033,    135046,     91895,      4235,      3250,    312573,      5524,      4221,    186519,    133536,  13765089,    227011,    185768,    250505,    180490,  18487280,    306833,    249513
       131,     30131,120.748304,      90.4,         0,     94762,     81700,   8566472,         0,     94762,      4195,      3200,    379272,         0,      4195,    192425,    137687,  17395244,         0,    192425,    258917,    186250,  23406131,         0,    258917
